"id","description","date","mileage"
"4","NULL","2014-05-19","84180"
"5","NULL","2014-06-01","93026"
"6","NULL","2014-10-26","103250"
"7","NULL","2015-02-07","111400"
"8","NULL","2015-06-06","120880"
"9","NULL","2015-08-27","130070"
"10","NULL","2015-12-16","138045"
"12","NULL","2016-03-25","146500"
"13","NULL","2016-08-19","154728"
"15","NULL","2017-08-12","170056"
"16","NULL","2017-11-12","170741"
"17","NULL","2018-08-10","179300"
"19","NULL","2018-09-02","189954"
"20","NULL","2020-09-05","199767"
"21","NULL","2022-04-29","204820"
"22","NULL","2024-04-06","222808"
"23","NULL","2024-08-01","226300"
"24","NULL","2018-08-17","175023"
"25","NULL","2017-05-02","163055"
